min_position,ask_size,final_pnl,max_drawdown,peak_pnl,trough_pnl,day_0_pnl,day_1_pnl,day_2_pnl
72,5,245189.0,504.0,245693.0,-492.0,81382.5,81525.5,82281.0
73,5,246269.0,511.0,246780.0,-500.0,81736.5,81942.5,82590.0
74,5,246846.0,518.0,247364.0,-508.0,81941.0,82059.0,82846.0
75,5,247520.0,525.0,248045.0,-478.5,82336.0,82085.0,83099.0
76,5,247284.0,532.0,247816.0,-519.0,82270.0,82056.0,82958.0
77,5,246144.0,539.0,246683.0,-527.0,81995.0,81730.0,82419.0
72,6,245216.0,504.0,245720.0,-492.0,81377.5,81550.5,82288.0
73,6,246368.0,511.0,246879.0,-500.0,81802.5,81968.5,82597.0
74,6,247465.0,518.0,247983.0,-508.0,82247.0,82215.0,83003.0
75,6,247520.0,525.0,248045.0,-478.5,82336.0,82085.0,83099.0
76,6,247284.0,532.0,247816.0,-519.0,82270.0,82056.0,82958.0
77,6,246144.0,539.0,246683.0,-527.0,81995.0,81730.0,82419.0
72,7,245208.0,504.0,245712.0,-492.0,81373.5,81533.5,82301.0
73,7,246473.0,511.0,246984.0,-500.0,81859.5,82003.5,82610.0
74,7,247465.0,518.0,247983.0,-508.0,82247.0,82215.0,83003.0
75,7,247520.0,525.0,248045.0,-478.5,82336.0,82085.0,83099.0
76,7,247284.0,532.0,247816.0,-519.0,82270.0,82056.0,82958.0
77,7,246144.0,539.0,246683.0,-527.0,81995.0,81730.0,82419.0
72,8,245208.0,504.0,245712.0,-492.0,81373.5,81533.5,82301.0
73,8,246473.0,511.0,246984.0,-500.0,81859.5,82003.5,82610.0
74,8,247465.0,518.0,247983.0,-508.0,82247.0,82215.0,83003.0
75,8,247520.0,525.0,248045.0,-478.5,82336.0,82085.0,83099.0
76,8,247284.0,532.0,247816.0,-519.0,82270.0,82056.0,82958.0
77,8,246144.0,539.0,246683.0,-527.0,81995.0,81730.0,82419.0
72,9,245208.0,504.0,245712.0,-492.0,81373.5,81533.5,82301.0
73,9,246473.0,511.0,246984.0,-500.0,81859.5,82003.5,82610.0
74,9,247465.0,518.0,247983.0,-508.0,82247.0,82215.0,83003.0
75,9,247520.0,525.0,248045.0,-478.5,82336.0,82085.0,83099.0
76,9,247284.0,532.0,247816.0,-519.0,82270.0,82056.0,82958.0
77,9,246144.0,539.0,246683.0,-527.0,81995.0,81730.0,82419.0
