product,entry,active,final_pnl,sharpe
VELVETFRUIT_EXTRACT,4,11.428571428571429,54937.0,1.5647748308192857
VELVETFRUIT_EXTRACT,2,5.714285714285714,44869.0,1.2099359015851565
VELVETFRUIT_EXTRACT,6,17.142857142857142,68102.0,2.0153938030389837
VELVETFRUIT_EXTRACT,1,2.857142857142857,35622.0,0.9428730404891278
VELVETFRUIT_EXTRACT,7,20.0,72541.0,2.1919456903811163
VELVETFRUIT_EXTRACT,8,22.857142857142858,72986.0,2.24312229990012
VELVETFRUIT_EXTRACT,12,34.285714285714285,71046.0,2.3098238533323716
VELVETFRUIT_EXTRACT,10,28.571428571428573,73093.0,2.31831504213335
VELVETFRUIT_EXTRACT,15,42.857142857142854,71565.0,2.4408233728856787
VELVETFRUIT_EXTRACT,30,85.71428571428571,42417.0,2.7006523542405327
VELVETFRUIT_EXTRACT,20,57.142857142857146,66505.0,2.5685128259771335
