product,threshold,final_pnl,sharpe
VEV_5200,1,59246.0,1.8610128220569977
VEV_5200,3,63070.0,2.011082043694679
VEV_5200,0.5,59128.0,1.8577279213570626
VEV_5200,2,60183.0,1.9024078063063212
VEV_5200,6,67383.0,2.2313228300515173
VEV_5200,4,63871.0,2.0545676901225387
VEV_5200,8,69612.0,2.396176860927939
VEV_5200,5,64899.0,2.1128460438040633
VEV_5200,16,49988.0,2.3580417519545094
VEV_5200,12,68871.0,2.599086920073574
VEV_5200,22,39297.0,2.6927088959977206
VEV_5200,10,70675.0,2.5787258589518083
